Period,Electricity Cost (£),Electricity Consumption (kwh)
1 December 2025,2.14,8.42903225806452
2 December 2025,2.14,8.42903225806452
3 December 2025,2.14,8.42903225806452
4 December 2025,2.14,8.42903225806452
5 December 2025,2.14,8.42903225806452
6 December 2025,2.14,8.42903225806452
7 December 2025,2.14,8.42903225806452
8 December 2025,2.14,8.42903225806452
9 December 2025,2.14,8.42903225806452
10 December 2025,2.14,8.42903225806452
11 December 2025,2.14,8.42903225806452
12 December 2025,2.14,8.42903225806452
13 December 2025,2.14,8.42903225806452
14 December 2025,2.14,8.42903225806452
15 December 2025,2.14,8.42903225806452
16 December 2025,2.14,8.42903225806452
17 December 2025,2.14,8.42903225806452
18 December 2025,2.14,8.42903225806452
19 December 2025,2.14,8.42903225806452
20 December 2025,2.14,8.42903225806452
21 December 2025,2.14,8.42903225806452
22 December 2025,2.14,8.42903225806452
23 December 2025,2.14,8.42903225806452
24 December 2025,1.705,3
25 December 2025,2.755,6
26 December 2025,1.705,3
27 December 2025,1.705,3
28 December 2025,1.705,3
29 December 2025,2.405,5
30 December 2025,5.205,13
31 December 2025,0.655,0
1 January 2026,1.705,3
2 January 2026,2.055,4
3 January 2026,4.155,10
4 January 2026,4.855,12
5 January 2026,6.605,17
6 January 2026,6.955,18
7 January 2026,7.305,19
8 January 2026,6.605,17
9 January 2026,5.205,13
10 January 2026,6.605,17
11 January 2026,4.855,12
12 January 2026,5.555,14
13 January 2026,4.855,12
14 January 2026,6.955,18
15 January 2026,7.655,20
16 January 2026,5.205,13
17 January 2026,6.255,16
18 January 2026,5.555,14
19 January 2026,6.955,18
20 January 2026,3.455,8
21 January 2026,6.255,16
22 January 2026,8.355,22
23 January 2026,4.155,10
24 January 2026,8.005,21
25 January 2026,5.205,13
26 January 2026,5.555,14
27 January 2026,6.605,17
28 January 2026,5.205,13
29 January 2026,6.955,18
30 January 2026,4.155,10
31 January 2026,6.955,18
1 February 2026,5.205,13
